State,gdp_2011,gdp_2001
Andhra Pradesh,4.93%,5.96%
Arunachal Pradesh,0.13%,0.11%
Assam,1.52%,2.01%
Bihar,3.28%,2.73%
Chhattisgarh,1.77%,1.78%
Goa,0.47%,0.67%
Gujarat,7.31%,6.98%
Haryana,3.71%,2.97%
Himachal Pradesh,0.79%,0.73%
Jammu & Kashmir,0.84%,0.78%
Jharkhand,1.65%,1.81%
Karnataka,5.87%,6.23%
Kerala,3.75%,4.98%
Madhya Pradesh,4.65%,4.27%
Maharashtra,14.42%,13.21%
Manipur,0.14%,0.05%
Meghalaya,0.21%,0.34%
Mizoram,0.10%,0.35%
Nagaland,0.17%,0.15%
Odisha,3.11%,4.34%
Punjab,3.03%,2.91%
Rajasthan,4.94%,4.02%
Sikkim,0.12%,0.04%
Tamil Nadu,8.16%,9.06%
Tripura,0.26%,0.28%
Uttarakhand,1.47%,2.04%
Uttar Pradesh,8.24%,7.68%
West Bengal,6.75%,8.98%
,,
